date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:12:38	250/250	---M--	302	error ('Found')	text/html	date:Wed,%2018%20Jun%202025%2016:12:37%20GMT	https://www.amazonebookpublishers.co/audiobook-publishing-services.php	C:/My%20Web%20Sites/Ebook/www.amazonebookpublishers.co/audiobook-publishing-services.php	(from https://www.amazonebookpublishers.co/)
21:12:38	94431/94431	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Jun%202025%2016:12:38%20GMT	https://www.amazonebookpublishers.co/audiobook-publishing-services	C:/My%20Web%20Sites/Ebook/www.amazonebookpublishers.co/audiobook-publishing-services.html	(from https://www.amazonebookpublishers.co/)
21:12:38	251/251	---M--	302	error ('Found')	text/html	date:Wed,%2018%20Jun%202025%2016:12:38%20GMT	https://www.amazonebookpublishers.co/author-website-design-services.php	C:/My%20Web%20Sites/Ebook/www.amazonebookpublishers.co/author-website-design-services.php	(from https://www.amazonebookpublishers.co/)
21:12:39	106059/106059	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Jun%202025%2016:12:38%20GMT	https://www.amazonebookpublishers.co/author-website-design-services	C:/My%20Web%20Sites/Ebook/www.amazonebookpublishers.co/author-website-design-services.html	(from https://www.amazonebookpublishers.co/)
21:12:39	247/247	---M--	302	error ('Found')	text/html	date:Wed,%2018%20Jun%202025%2016:12:39%20GMT	https://www.amazonebookpublishers.co/book-illustration-services.php	C:/My%20Web%20Sites/Ebook/www.amazonebookpublishers.co/book-illustration-services.php	(from https://www.amazonebookpublishers.co/)
21:12:39	103615/103615	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Jun%202025%2016:12:39%20GMT	https://www.amazonebookpublishers.co/book-illustration-services	C:/My%20Web%20Sites/Ebook/www.amazonebookpublishers.co/book-illustration-services.html	(from https://www.amazonebookpublishers.co/)
21:12:40	231/231	---M--	302	error ('Found')	text/html	date:Wed,%2018%20Jun%202025%2016:12:39%20GMT	https://www.amazonebookpublishers.co/contact-us.php	C:/My%20Web%20Sites/Ebook/www.amazonebookpublishers.co/contact-us.php	(from https://www.amazonebookpublishers.co/)
21:12:40	31606/31606	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Jun%202025%2016:12:40%20GMT	https://www.amazonebookpublishers.co/contact-us	C:/My%20Web%20Sites/Ebook/www.amazonebookpublishers.co/contact-us.html	(from https://www.amazonebookpublishers.co/)
21:12:40	376/376	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Feb%202025%2023:58:35%20GMT	https://www.amazonebookpublishers.co/images/pen.png	C:/My%20Web%20Sites/Ebook/www.amazonebookpublishers.co/images/pen.png	(from https://www.amazonebookpublishers.co/)
21:12:41	18508/18508	---M--	200	added ('OK')	image/webp	date:Fri,%2028%20Feb%202025%2023:57:36%20GMT	https://www.amazonebookpublishers.co/images/book-qoute-img.webp	C:/My%20Web%20Sites/Ebook/www.amazonebookpublishers.co/images/book-qoute-img.webp	(from https://www.amazonebookpublishers.co/)
21:12:41	13208/13208	---M--	200	added ('OK')	image/gif	date:Fri,%2028%20Feb%202025%2023:59:01%20GMT	https://www.amazonebookpublishers.co/loader.gif	C:/My%20Web%20Sites/Ebook/www.amazonebookpublishers.co/loader.gif	(from https://www.amazonebookpublishers.co/)
21:12:42	39368/39368	---M--	200	added ('OK')	image/webp	date:Fri,%2028%20Feb%202025%2023:57:31%20GMT	https://www.amazonebookpublishers.co/images/banner-inner-img.webp	C:/My%20Web%20Sites/Ebook/www.amazonebookpublishers.co/images/banner-inner-img.webp	(from https://www.amazonebookpublishers.co/)
21:12:42	6191/6191	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Feb%202025%2023:58:19%20GMT	https://www.amazonebookpublishers.co/images/good-firms-logo.png	C:/My%20Web%20Sites/Ebook/www.amazonebookpublishers.co/images/good-firms-logo.png	(from https://www.amazonebookpublishers.co/)
21:12:42	8490/8490	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Feb%202025%2023:58:06%20GMT	https://www.amazonebookpublishers.co/images/clutch-logo.png	C:/My%20Web%20Sites/Ebook/www.amazonebookpublishers.co/images/clutch-logo.png	(from https://www.amazonebookpublishers.co/)
21:12:42	23997/23997	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Feb%202025%2023:57:22%20GMT	https://www.amazonebookpublishers.co/images/Amazon-Kindle-logo.png	C:/My%20Web%20Sites/Ebook/www.amazonebookpublishers.co/images/Amazon-Kindle-logo.png	(from https://www.amazonebookpublishers.co/)
21:12:43	3629/3629	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Feb%202025%2023:58:50%20GMT	https://www.amazonebookpublishers.co/images/Trustpilot-logo.png	C:/My%20Web%20Sites/Ebook/www.amazonebookpublishers.co/images/Trustpilot-logo.png	(from https://www.amazonebookpublishers.co/)
21:12:43	8912/8912	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Feb%202025%2023:58:19%20GMT	https://www.amazonebookpublishers.co/images/good-reads.png	C:/My%20Web%20Sites/Ebook/www.amazonebookpublishers.co/images/good-reads.png	(from https://www.amazonebookpublishers.co/)
21:12:43	930/930	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Feb%202025%2023:57:31%20GMT	https://www.amazonebookpublishers.co/images/banner-brands-logo-5.png	C:/My%20Web%20Sites/Ebook/www.amazonebookpublishers.co/images/banner-brands-logo-5.png	(from https://www.amazonebookpublishers.co/)
21:12:44	496/496	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Feb%202025%2023:58:35%20GMT	https://www.amazonebookpublishers.co/images/pen-about.png	C:/My%20Web%20Sites/Ebook/www.amazonebookpublishers.co/images/pen-about.png	(from https://www.amazonebookpublishers.co/)
21:12:44	20701/20701	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2018%20Jun%202025%2016:12:44%20GMT	https://www.amazonebookpublishers.co/transparent.html	C:/My%20Web%20Sites/Ebook/www.amazonebookpublishers.co/transparent.html	(from https://www.amazonebookpublishers.co/)
21:12:45	5002/5002	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Feb%202025%2023:57:19%20GMT	https://www.amazonebookpublishers.co/images/about-book-bg.png	C:/My%20Web%20Sites/Ebook/www.amazonebookpublishers.co/images/about-book-bg.png	(from https://www.amazonebookpublishers.co/)
21:12:45	319/319	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2028%20Feb%202025%2023:58:03%20GMT	https://www.amazonebookpublishers.co/images/check-ico.svg	C:/My%20Web%20Sites/Ebook/www.amazonebookpublishers.co/images/check-ico.svg	(from https://www.amazonebookpublishers.co/)
21:12:45	47678/47678	---M--	200	added ('OK')	image/webp	date:Fri,%2028%20Feb%202025%2023:57:19%20GMT	https://www.amazonebookpublishers.co/images/about-book.webp	C:/My%20Web%20Sites/Ebook/www.amazonebookpublishers.co/images/about-book.webp	(from https://www.amazonebookpublishers.co/)
21:12:46	1816/1816	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Feb%202025%2023:58:21%20GMT	https://www.amazonebookpublishers.co/images/icons/home-ico-01-min.png	C:/My%20Web%20Sites/Ebook/www.amazonebookpublishers.co/images/icons/home-ico-01-min.png	(from https://www.amazonebookpublishers.co/)
